IBIRUBA,19146486.470000003,20413,937.9555415666488,607.185,0.765,14.44,82619922.41,67083458.339999996,52551.35
IGREJINHA,25895415.34,37340,693.5033567220139,137.548,0.721,13.51,129334221.67,105870016.05000001,49798.73
IJUI,42836444.55,83764,511.39444809225915,688.982,0.781,12.07,367898415.79,322410221.83,42446.9
ILOPOLIS,2851813.69,4066,701.3806419085096,118.144,0.73,37.04,19641294.490000002,14208733.280000001,25566.37
IMBE,4138794.92,23271,177.85204417515362,39.766,0.764,16.89,93697309.7,86666623.28,20405.2
IMIGRANTE,6004152.15,3100,1936.8232741935485,71.716,0.743,62.5,22621720.5,19340551.54,76801.62
INDEPENDENCIA,7572053.77,6109,1239.4915321656572,358.283,0.693,12.66,27809421.03,23496471.84,45611.91
INHACORA,2511071.5199999996,2215,1133.666600451467,113.749,0.673,40,14300954.170000002,13152943.9,32435.19
IPE,6704159.619999999,6689,1002.2663507250709,599.361,0.728,19.23,26439355.52,21629964.04,29864.74
IPIRANGA DO SUL,3889355.14,1880,2068.805925531915,158.71,0.791,166.67,15743403.979999999,13386929.690000001,54739.6
IRAI,3502630.7399999998,7141,490.49583251645424,181.579,0.691,9.62,21118445.169999998,17857660.240000002,23137.18
ITAARA,2537975.81,5537,458.3665902113058,172.801,0.76,17.54,18509782.4,16493692.470000003,22856.48
ITACURUBI,4679446.819999999,3460,1352.4412774566472,1120.874,0.657,41.67,18074020.87,15199270.350000001,26512.97
ITAPUCA,2439449.06,2065,1181.3312639225182,184.673,0.664,52.63,14448839.84,11837662.270000001,27090.56
ITAQUI,31153559.969999995,37489,831.0053607724931,3406.606,0.713,18.15,110187865.57,109059943.16,36770.02
ITATI,2400469.95,2397,1001.4476220275345,205.321,0.669,125,14779515.46,12529426.659999998,26379.0
ITATIBA DO SUL,2598481.08,3231,804.2343175487465,212.669,0.681,43.48,20611191.470000003,16955737.73,17120.09
IVORA,1414814.63,1881,752.1608878256246,122.93,0.724,-,13908711.48,11563703.229999999,27266.57
IVOTI,11985705.86,24690,485.4477869582827,63.092,0.784,11.07,89287145.51,67632303.01,42392.5
JABOTICABA,2524866.11,3773,669.1932441028359,127.589,0.658,40.82,16607682.850000001,13538100.73,25581.78
JACUIZINHO,3264195.1000000006,2706,1206.2805247597933,339.399,0.662,55.56,15167505.370000001,13466829.120000001,43708.96
JACUTINGA,3841905.16,3546,1083.4475916525664,178.009,0.726,68.97,20329547.2,15444499.87,37600.75
JAGUARAO,12227316.030000001,26500,461.4081520754717,2051.845,0.707,24.62,87238156.98,72245378.63000001,24959.82
JAGUARI,4401123.740000001,10765,408.83639015327464,675.314,0.712,23.53,38963780.489999995,34087805.52,23282.63
JAQUIRANA,3751646.52,3662,1024.480207536865,908.879,0.614,18.18,20416122.66,16166576.38,17759.46
JARI,4928886.010000001,3486,1413.9087808376364,853.08,0.631,28.57,22238518.380000003,15751168.51,62056.45
